Texto,Categoría
Japón es desde hace varias décadas una de las grandes potencias económicas mundiales, y en la actualidad es la tercera mayor economía de acuerdo a su PIB. Asimismo, es el cuarto mayor exportador e importador de mercancías. Aunque Japón renunció oficialmente a su derecho a declarar la guerra tras la Segunda Guerra Mundial, posee unas modernas fuerzas armadas y el quinto mayor presupuesto militar mundial​ para su autodefensa y el mantenimiento de la paz.
Es miembro de la Organización de las Naciones Unidas, el G7, el G4 y la APEC. Japón es el segundo país con la menor tasa de homicidios, solo por detrás de Singapur, las mujeres japonesas tienen la segunda mayor esperanza de vida​ y, según la ONU, el país presenta la tercera menor mortalidad infantil del mundo.",Lugares
"México (Acerca de este sonido [ˈmexiko]), oficialmente Estados Unidos Mexicanos, es un país soberano ubicado en la parte meridional de América del Norte con capital en la Ciudad de México. Políticamente es una república representativa, democrática, federal y laica, compuesta por 32 entidades federativas (31 estados y la capital federal).
El territorio mexicano tiene una superficie de 1 964 375 km², por lo que es el decimotercer país más extenso del mundo y el tercero más grande de América Latina. Limita al norte con los Estados Unidos de América a lo largo de una frontera de 3 155 km, mientras que al sur tiene una frontera de 958 km con Guatemala y 276 km con Belice. Las costas del país limitan al oeste con el océano Pacífico y al este con el golfo de México y el mar Caribe, sumando 9 330 km, por lo que es el tercer país americano con mayor longitud de litoral.
México es el undécimo país más poblado del mundo, con una población estimada en más de 126 millones de personas en 2019.8​ La mayoría de ellas tiene como lengua materna el español, al que el estado reconoce como lengua nacional junto a 67 lenguas indígenas propias de la nación, si bien en el país se hablan alrededor de 287 idiomas.​ Estas cifras convierten a México en el país con mayor número de hispanohablantes,​ así como en el séptimo país con mayor diversidad lingüística en el mundo.​
La presencia humana en México se remonta a 14 000 años antes del presente.​ Como fruto de miles de años de desarrollo cultural surgieron en el territorio mexicano las culturas mesoamericanas, aridoamericanas y oasisamericanas. El actual territorio central de México fue el principal y mayor escenario del pueblo mexica y, en parte, del pueblo maya, dos de las civilizaciones más importantes de la América precolombina. Durante 300 años, la totalidad del actual territorio formó parte del Virreinato de Nueva España, con capital en la Ciudad de México, siendo una de las entidades más importantes del Imperio Español en América. Tras la dominación española, Nueva España inició la lucha por su independencia política en 1810, que culminó en 1821. Posteriormente, durante cerca de un siglo el país se vio envuelto en una serie de guerras internas e invasiones extranjeras que tuvieron repercusiones en todos los ámbitos de la vida de los mexicanos. Durante buena parte del siglo XX (principalmente el segundo tercio) tuvo lugar un período de gran crecimiento económico en el marco de una política dominada por un solo partido político.
Según la Organización Mundial del Turismo, México es el principal destino turístico de América Latina y el sexto más visitado en el mundo.​ Esto se debe en gran medida a los 34 sitios culturales o naturales que son considerados por la UNESCO como Patrimonio de la Humanidad, y es en este sentido el primero en el continente y sexto en el mundo.
En términos macroeconómicos, por producto interno bruto (PIB) es la decimocuarta economía mundial y la undécima por paridad del poder adquisitivo (PPA); en escala regional, es la segunda economía de América Latina y la cuarta del continente. Según el informe de 2018 de desarrollo humano de la ONU, tiene un índice de desarrollo humano alto de 0.774, y ocupa el lugar 74º en el mundo.
México también es uno de los países con mayor diversidad de climas en el mundo, considerado uno de los 17 países megadiversos del planeta, es hogar del 10-12% de la biodiversidad mundial y alberga a más de 12 000 especies endémicas.",Lugares
"Un asistente virtual es un agente de software que ayuda a usuarios de sistemas computacionales, automatizando y realizando tareas con la mínima interacción hombre-máquina. La interacción que se da entre un asistente virtual y una persona, debe ser natural, una persona se comunica usando la voz y el asistente virtual lo procesa, interpreta y responde de la misma manera.
A veces el término bot conversacional (en inglés: chatbot) se utiliza para referirse a los asistentes virtuales en general o específicamente a aquellos a los que se accede por chat en línea (o en algunos casos, programas de chat en línea que son para entretenimiento y no para propósitos útiles).
Hacia 2017, las capacidades y el uso de los asistentes virtuales se está expandiendo rápidamente, con nuevos productos entrando al mercado. Una encuesta en línea en mayo de 2017 encontró el más utilizado en los Estados Unidos fueron Siri de Apple (34%), Google Assistant (19%), Amazon Alexa (6%) y Microsoft Cortana (4%). El uso de altavoces inteligentes alimentados por estos asistentes es radicalmente diferente; Apple ni siquiera anunció su altavoz inteligente hasta junio de 2017. El asistente virtual M de Facebook esperaba estar disponible para cientos de millones en Facebook Messenger en 2017. Apple y Google tienen grandes bases instaladas de usuarios en teléfonos inteligentes y Microsoft tiene una gran base instalada de computadoras personales basadas en Windows (donde trabaja Cortana, además de teléfonos y altavoces inteligentes); mientras que Alexa fue el primero en obtener la posibilidad de realizar pedidos de comercio electrónico en línea, desde Amazon.
Un asistente personal inteligente es un agente tipo software que puede realizar tareas u ofrecer servicios a un individuo. Estas tareas o servicios están basados en datos de entrada de usuario, reconocimiento de ubicación y la habilidad de acceder a información de una variedad de recursos en línea (como al clima o al tráfico, noticias, precios de acciones, horario del usuario, precios al por menor, etc). Algunos ejemplos de asistentes personales son Siri de Apple, Braina, Google Assistant, Google Now, Amazon Echo, Microsoft Cortana, S Voice de Samsung, Voice Mate, Silvia y Hidi de HTC. Y Bixby de Samsung. Uno de los aspectos clave de un asistente personal inteligente es su habilidad para organizar y mantener información. Esto incluye el manejo de correos electrónicos, eventos en el calendario, archivos, lista a seguir, etc.
De acuerdo con el inversor de capital de riesgo, Chi-Hua Chien,​ de la firma Kleiner Perkins Caufield & Byers, ejemplos de tareas que pueden ser ejecutadas por inteligentes automatizados agentes personales​ incluyen manejo de agenda (ejemplo: mandar una alerta a alguien que llegará tarde a su cena por un inconveniente de tráfico, actualización de horarios para ambas partes, y cambiar el horario de reservación del restaurante) y un manejador personal de salud (ejemplo: monitorear la ingesta diaria de calorías, el ritmo cardiaco y el régimen de ejercicio, después hacer recomendaciones y dar opciones para mejorar la salud).
La tecnología del asistente personal inteligente es permitida por la combinación de dispositivos móviles, interfaces de programación de aplicaciones (APIs), y la proliferación de aplicaciones móviles. Sin embargo, asistentes personales automatizados son diseñados para realizar tareas que solo son especificadas una vez a través de la voz del usuario mientras que los agentes personales inteligentes realizan tareas en curso (ejemplo: actualización en la agenda o calendario) de forma autónoma.",Objetos
"Un bot de charla o bot conversacional (en inglés, chatbot) es un programa que simula mantener una conversación con una persona al proveer respuestas automáticas a entradas hechas por el usuario. Habitualmente, la conversación se establece mediante texto, aunque también hay modelos que disponen de una interfaz de usuario multimedia. Más recientemente, algunos comienzan a utilizar programas conversores de texto a sonido (CTV), dotándolo de mayor realismo a la interacción con el usuario.
Para establecer una conversación han de utilizarse frases fácilmente comprensibles y que sean coherentes, aunque la mayoría de los bot conversacionales no consiguen comprender del todo. En su lugar, tienen en cuenta las palabras o frases del interlocutor, que les permitirán usar una serie de respuestas preparadas de antemano. De esta manera, el bot es capaz de seguir una conversación con más o menos lógica, pero sin saber realmente de qué está hablando.",Objetos
"Amazon Echo, es un altavoz inteligente de Amazon con funciones, incluyendo respuesta a preguntas y reproductor de música. El dispositivo consiste en un cilindro grande que habla, de 9 pulgadas (23 cm), con una matriz de sensores de 7 micrófonos, altavoces que incluyen un woofer/tweeter y un control remoto. El dispositivo responde al nombre de “Alexa” (Amazon Alexa).
Amazon ha estado desarrollando Echo dentro de su Lab126 desde sus instalaciones en Silicon Valley y Cambridge, Mass., durante, al menos, 4 años. El dispositivo, también llamado 'Doppler' o 'Project D', fue parte del primer intento de Amazon de ampliar su mercado de dispositivos además de la original Kindle Ereader.",Objetos
"Un robot es una entidad virtual o mecánica artificial. En la práctica, esto es por lo general un sistema electromecánico que, por su apariencia o sus movimientos, ofrece la sensación de tener un propósito propio. La independencia creada en sus movimientos hace que sus acciones sean la razón de un estudio razonable y profundo en el área de la ciencia y tecnología. La palabra robot puede referirse tanto a mecanismos físicos como a sistemas virtuales de software, aunque suele aludirse a los segundos con el término de bots.
No hay un consenso sobre qué máquinas pueden ser consideradas robots, pero sí existe un acuerdo general entre los expertos y el público sobre que los robots tienden a hacer parte o todo lo que sigue: moverse, hacer funcionar un brazo mecánico, sentir y manipular su entorno y mostrar un comportamiento inteligente, especialmente si ese comportamiento imita al de los humanos o a otros animales. Actualmente podría considerarse que un robot es una computadora con la capacidad y el propósito de movimiento que en general es capaz de desarrollar múltiples tareas de manera flexible según su programación; así que podría diferenciarse de algún electrodoméstico específico.
Aunque las historias sobre ayudantes y acompañantes artificiales, así como los intentos de crearlos, tienen una larga historia, las máquinas totalmente autónomas no aparecieron hasta el siglo XX. El primer robot programable y dirigido de forma digital, el Unimate, fue instalado en 1961 para levantar piezas calientes de metal de una máquina de tinte y colocarlas.
Los robots domésticos para la limpieza y mantenimiento del hogar son cada vez más comunes. No obstante, existe una cierta ansiedad sobre el impacto económico de la automatización y la amenaza del armamento robótico, una ansiedad que se ve reflejada en el retrato a menudo perverso y malvado de robots presentes en obras de la cultura popular. Comparados con sus colegas de ficción, los robots reales siguen siendo limitados.",Objetos
"Un reloj inteligente es un reloj de pulsera dotado con funcionalidades que van más allá de las de uno convencional. Los primeros modelos desempeñaban funcionalidades muy básicas, pero los actuales ya son capaces de acceder a Internet, realizar y recibir llamadas telefónicas, enviar y recibir correos electrónicos y SMS, recibir notificaciones del teléfono inteligente e incluso consultar las redes sociales. Muchas de las funcionalidades que integran ya están disponibles en los teléfonos inteligentes, sin embargo los relojes inteligentes gozan de algunas ventajas en lo que a comodidad respecta, en especial cuando se usa para hacer deporte o viajar.
Estos dispositivos pueden incluir características como un acelerómetro, giroscopio, brújula, pulsómetro, barómetro, altímetro, geomagnetómetro, geolocalizador (GPS), altavoz, micrófono, ranura para tarjeta de memoria externa etc. También cuentan con mecanismos de conectividad como el Bluetooth (para conectarlo al móvil, auriculares u otros dispositivos), NFC, WiFi o USB.
Cualquiera dispositivo cuenta con un procesador, memoria, entrada y salida. Se puede recoger información de los sensores internos o externos. Se puede controlar, o recuperar datos de otros dispositivos. Muchos de los relojes inteligentes sólo sirven como interfaz para el teléfono inteligente. Sin embargo, existen algunos prácticamente independientes, que incorporan ranura para tarjeta SIM y se denominan relojes inteligentes telefónicos.",Objetos
"El teléfono inteligente (smartphone en inglés) es un tipo de ordenador de bolsillo con las capacidades de un teléfono móvil (llamada telefónica, servicio de mensajes cortos, etc.). Sobre una plataforma informática móvil, con mayor capacidad de almacenar datos y realizar actividades simultáneamente, tareas que realiza una computadora, y con una mayor conectividad que un teléfono convencional. El término inteligente, que se utiliza con fines comerciales, hace referencia a la capacidad de usarse como un computador de bolsillo, y llega incluso a reemplazar a una computadora personal en algunos casos.
Los teléfonos inteligentes fueron popularizándose desde finales de la década del 2000, y durante el transcurso de la década de 2010. Los sistemas operativos móviles más utilizados actualmente son Android y iOS. Las marcas de teléfonos más populares son Apple iPhone, Samsung, Huawei, Xiaomi, entre otros. Recientemente, a principios del año 2013, los teléfonos inteligentes superan en venta a los teléfonos celulares convencionales desde entonces.
Una de las principales características de estos teléfonos es la pantalla táctil, que reemplaza a los botones y pantalla visual pequeña de los teléfonos convencionales, pero el soporte completo al correo electrónico, así como la conectividad a Internet y función multimedia parecen ser características indispensables encontradas en todos los modelos existentes y anunciados desde principios de los 2010. Casi todos los teléfonos inteligentes también permiten al usuario instalar programas adicionales, habitualmente incluso desde terceros, hecho que dota a estos teléfonos de muchísimas aplicaciones en diferentes terrenos; sin embargo, algunos teléfonos son calificados como inteligentes aun cuando no tienen esa característica.
Entre otros rasgos comunes está la función multitarea, el acceso a Internet vía Wifi o redes 2G, 3G, 4G, 5G; algunos también cuentan con funciones multimedia (cámara y reproductor de videos/mp3), programas de agenda, administración de contactos, acelerómetro, Bluetooth, GPS y algunos programas de navegación, así como ocasionalmente la habilidad de leer documentos de negocios en variedad de formatos como PDF y documentos ofimáticos.",Objetos
"﻿Albert Einstein (Imperio alemán; 14 de marzo de 1879-Princeton, Estados Unidos; 18 de abril de 1955) fue un físico alemán de origen judío, nacionalizado después suizo, austriaco y estadounidense. Se lo considera el científico más importante, conocido y popular del siglo XX.
En 1905, cuando era un joven físico desconocido, empleado en la Oficina de Patentes de Berna, publicó su teoría de la relatividad especial. En ella incorporó, en un marco teórico simple fundamentado en postulados físicos sencillos, conceptos y fenómenos estudiados antes por Henri Poincaré y por Hendrik Lorentz. Como una consecuencia lógica de esta teoría, dedujo la ecuación de la física más conocida a nivel popular: la equivalencia masa-energía, E=mc². Ese año publicó otros trabajos que sentarían algunas de las bases de la física estadística y de la mecánica cuántica.
En 1915, presentó la teoría de la relatividad general, en la que reformuló por completo el concepto de la gravedad.​ Una de las consecuencias fue el surgimiento del estudio científico del origen y la evolución del Universo por la rama de la física denominada cosmología. En 1919, cuando las observaciones británicas de un eclipse solar confirmaron sus predicciones acerca de la curvatura de la luz, fue idolatrado por la prensa. Einstein se convirtió en un icono popular de la ciencia mundialmente famoso, un privilegio al alcance de muy pocos científicos.
Por sus explicaciones sobre el efecto fotoeléctrico y sus numerosas contribuciones a la física teórica, en 1921 obtuvo el Premio Nobel de Física y no por la Teoría de la Relatividad, pues el científico a quien se encomendó la tarea de evaluarla no la entendió, y temieron correr el riesgo de que luego se demostrase errónea.​ En esa época era aún considerada un tanto controvertida.
Ante el ascenso del nazismo, Einstein abandonó Alemania hacia diciembre de 1932 con destino a Estados Unidos, donde se dedicó a la docencia en el Institute for Advanced Study. Se nacionalizó estadounidense en 1940. Durante sus últimos años trabajó por integrar en una misma teoría la fuerza gravitatoria y la electromagnética.
Aunque es considerado por algunos como el padre de la bomba atómica, abogó por el federalismo mundial, el internacionalismo, el pacifismo, el sionismo y el socialismo democrático, con una fuerte devoción por la libertad individual y la libertad de expresión.​ Fue proclamado «personaje del siglo XX» y el más preeminente científico por la revista Time.",Personas
"Isaac Asimov (RSFS de Rusia, 20 de diciembre de 1919. 2 de enero de 1920. Nueva York, Estados Unidos, 6 de abril de 1992) fue un escritor y profesor de bioquímica en la facultad de medicina de la Universidad de Boston de origen ruso, nacionalizado estadounidense, conocido por ser un prolífico autor de obras de ciencia ficción, historia y divulgación científica.​ Asimov, asimismo, tenía un dilatado conocimiento sobre las ciencias naturales en todo su conjunto.
Su obra más famosa es la Saga de la Fundación, también conocida como Trilogía o Ciclo de Trántor, que forma parte de la serie del Imperio Galáctico y que más tarde combinó con su otra gran serie sobre los robots. También escribió obras de misterio y fantasía, así como una gran cantidad de textos de no ficción. En total, firmó más de 500 volúmenes y unas 9000 cartas o postales. Sus trabajos han sido publicados en 9 de las 10 categorías del Sistema Dewey de clasificación.
Junto con Robert A. Heinlein y Arthur C. Clarke, Asimov fue considerado en vida como uno de los «tres grandes» escritores de ciencia ficción.
La mayoría de sus libros de divulgación explican los conceptos científicos siguiendo una línea histórica, retrotrayéndose lo más posible a tiempos en que la ciencia en cuestión se encontraba en una etapa elemental. A menudo brinda la nacionalidad, las fechas de nacimiento y muerte de los científicos que menciona, así como las etimologías de las palabras técnicas.
Fue miembro de Mensa durante mucho tiempo, a cuyos miembros describía como «intelectualmente combativos». Disfrutaba más de la presidencia de la Asociación Humanista Estadounidense, una organización de ideología atea.
En 1981 se nombró a un asteroide, el (5020) Asimov, en su honor.",Personas
"Isaac Newton, 25 de diciembre de 1642, Londres, 20 de marzo de 1727) fue un físico, teólogo, inventor, alquimista y matemático inglés. Es autor de los Philosophiæ naturalis principia mathematica, más conocidos como los Principia, donde describe la ley de la gravitación universal y estableció las bases de la mecánica clásica mediante las leyes que llevan su nombre. Entre sus otros descubrimientos científicos destacan los trabajos sobre la naturaleza de la luz y la óptica (que se presentan principalmente en su obra Opticks), y en matemáticas, el desarrollo del cálculo infinitesimal.
Newton comparte con Gottfried Leibniz el crédito por el desarrollo del cálculo integral y diferencial, que utilizó para formular sus leyes de la física y astronomía. También contribuyó en otras áreas de las matemáticas, desarrollando el teorema del binomio y las fórmulas de Newton-Cotes.
Entre sus hallazgos científicos se encuentran el descubrimiento de que el espectro de color que se observa cuando la luz blanca pasa por un prisma es inherente a esa luz, en lugar de provenir del prisma (como había sido postulado por Roger Bacon en el siglo XIII); su argumentación sobre la posibilidad de que la luz estuviera compuesta por partículas; su desarrollo de una ley de convección térmica, que describe la tasa de enfriamiento de los objetos expuestos al aire; sus estudios sobre la velocidad del sonido en el aire; y su propuesta de una teoría sobre el origen de las estrellas. Fue también un pionero de la mecánica de fluidos, estableciendo una ley sobre la viscosidad.
Newton fue el primero en demostrar que las leyes naturales que gobiernan el movimiento en la Tierra y las que gobiernan el movimiento de los cuerpos celestes son las mismas. Es, a menudo, calificado como el científico más grande de todos los tiempos, y su obra como la culminación de la revolución científica. El matemático y físico Joseph Louis Lagrange (1736-1813), dijo que Newton fue el más grande genio que ha existido y también el más afortunado, dado que solo se puede encontrar una vez un sistema que rija el mundo.",Personas
"Nikola Tesla (Imperio austríaco, actual Croacia, 10 de julio de 1856 - Nueva York, 7 de enero de 1943) fue un inventor, ingeniero eléctrico, ingeniero mecánico y físico estadounidense de origen serbocroata.​ Se le conoce sobre todo por sus numerosas invenciones en el campo del electromagnetismo, desarrolladas a finales del siglo XIX y principios del siglo XX. Las patentes de Tesla y su trabajo teórico ayudaron a forjar las bases de los sistemas modernos para el uso de la energía eléctrica por corriente alterna (CA), incluyendo el sistema polifásico de distribución eléctrica y el motor de corriente alterna, que contribuyeron al surgimiento de la Segunda Revolución Industrial.
Su carácter, su enfrentamiento con Edison y el halo de misterio que rodea a algunos de sus descubrimientos, hicieron que Tesla se convirtiera en un científico muy popular a partir de la década de 1990, con una abundante bibliografía disponible acerca de su vida y de su obra.",Personas
"Stephen William Hawking; Oxford, 8 de enero de 1942-Cambridge, 14 de marzo de 2018) fue un físico teórico, astrofísico, cosmólogo y divulgador científico británico. Sus trabajos más importantes consistieron en aportar, junto con Roger Penrose, teoremas respecto a las singularidades espaciotemporales en el marco de la relatividad general y la predicción teórica de que los agujeros negros emitirían radiación,​ lo que se conoce hoy en día como radiación de Hawking (o a veces radiación Bekenstein-Hawking). Uno de los principales características de su personalidad fue su contribución al debate científico, a veces apostando públicamente con otros científicos, el caso más conocido es su participación en la discusión sobre la conservación de la información en los agujeros negros.
Era miembro de la Real Sociedad de Londres, de la Academia Pontificia de las Ciencias y de la Academia Nacional de Ciencias de Estados Unidos. Fue titular de la Cátedra Lucasiana de Matemáticas (Lucasian Chair of Mathematics) de la Universidad de Cambridge desde 1979 hasta su jubilación en 2009.
Entre las numerosas distinciones que le fueron concedidas, recibió doce doctorados honoris causa y fue galardonado con la Orden del Imperio Británico (grado CBE) en 1982, el Premio Príncipe de Asturias de la Concordia en 1989, la Medalla Copley en 2006, la Medalla de la Libertad en 2009 y el Premio Fundación BBVA Fronteras del Conocimiento en 2015.
Estuvo casado en dos ocasiones y tuvo tres hijos. Justo antes de su primer matrimonio, con 21 años, se le diagnósticó esclerosis lateral amiotrófica (ELA), que fue agravando su estado con el paso de los años, hasta dejarlo casi completamente paralizado y le forzó a comunicarse a través de un aparato generador de voz. Cuando su enfermedad le afectó a la capacidad de tragar y se ahogaba al comer, Hawking comenzó una dieta especial, que se basaba principalmente en la retirada del gluten, el azúcar y los alimentos procesados, y complementación con diversos suplementos.​ Ha sido la persona más longeva con esta enfermedad, a la que sobrevivió 55 años cuando la esperanza media de vida es de aproximadamente 14 meses. Su caso resulta fascinante y desconcertante para los neurólogos.
Como autor de libros divulgativos sobre ciencia alcanzó enormes éxitos de ventas, en los que discute sobre sus propias teorías y la cosmología en general, como Breve historia del tiempo: del Big Bang a los agujeros negros (A Brief History of Time: From the Big Bang to Black Holes), de 1988, y que estuvo en la lista de bestsellers del The Sunday Times británico durante 237 semanas, Brevísima historia del tiempo (A Briefer History of Time), de 2005, en colaboración con Leonard Mlodinow, en la que trató de explicar de la manera más sencilla posible la Historia del Universo, motivo por el cual se le conoció como El historiador del tiempo o El historiador del universo, y El universo en una cáscara de nuez (The Universe in a Nutshell), de 2001.",Personas
"Thomas Alva Edison (Milan, Ohio, 11 de febrero de 1847-West Orange, Nueva Jersey, 18 de octubre de 1931) fue un empresario.​ Desarrolló muchos dispositivos que han tenido gran influencia en todo el mundo, como el fonógrafo, la cámara de cine o una duradera bombilla incandescente. Apodado El mago de Menlo Park, Edison fue uno de los primeros inventores en aplicar los principios de la producción en cadena y el trabajo en equipo a gran escala al proceso de invención, motivos por los cuales se le reconoce la creación del primer laboratorio de investigación industrial.
Edison fue un inventor prolífico que registró 1903 patentes a su nombre en Estados Unidos, además de otras en Reino Unido, Francia y Alemania. Pero más importante que sus muchas patentes fue el amplio impacto que tuvieron algunas de sus invenciones: la luz eléctrica y el suministro público de electricidad, la grabación de sonido y la cinematografía se convirtieron en nuevas y poderosas industrias en todo el mundo. Sus inventos contribuyeron en particular a las telecomunicaciones, como una máquina de voto, una batería para un automóvil eléctrico, la energía eléctrica, la grabación de música y las películas. Sus avanzados trabajos en estos campos no fueron más que una continuación de su primer trabajo como radiotelegrafista. Edison desarrolló un sistema de generación y distribución de energía eléctrica a las casas, negocios y fábricas, un avance crucial para el mundo industrializado moderno.",Personas
